ID,Title,Author,Year,Format,File
1,Sleeping Beauties,Stephen King dan Owen King,2017,PDF,9781501163401.pdf
2,Petualang_Antariksa,Jessica Putri Elizabeth,2022,PDF,YZudlBOAZt2xeIXDOYchUTPXEQAmodkbSvIXPOFq.pdf
3,Pendidikan Jasmani, olahraga, dan Kesehatan,Anggara Aditya Kurniawan dkk,2024,PDF,PJOK BG KLS XI.pdf
4,Dung Trek Trek Dung,Elis siti Mariam,2022,PDF,kwH9xb20rApBfHJmAFtSOHOEzvdOmZ10bUguISB compressed.pdf
5,International Law After the Ukraine War,Jennifer Giblin dkk,2026,PDF,9781040446843.pdf
6,A Guide to Creating Images from Text Using Midjourney AI,Alex Photo studio,2025,PDF,68c4689386532-a-guide-to-creating-images-from-text-using-midjourney-ai.pdf
7,Social Media Hero: How to Use Social Media to Stand Up Above the Rest,Nico Eckert,2021,PDF,68045a3317889-social-media-hero-how-to-use-social-media-to-stand-up-above-the-rest.pdf
8,Adipati Blambangan,Sutejo dkk,2021,PDF,2p80HhakOUnE6mL80JrhH2cP1dJt8NPVHTaakeJM compressed.pdf
9,Ilmu Pengetahuan Alam dan Sosial,Amalia Fitri dkk,2022,PDF,IPAS-BS-KLS-III compressed compressed compressed-compressed.pdf
10,Pendidikan Agama Islam dan Budi Pekerti,10. Abd. Rahman dkk,2021,PDF,Islam-BS-KLS-XI compressed compressed-compressed-compressed.pdf
11,BEYOND THE BOOKSHELF VIRTUAL REALITY,yuda,2025,PDF,BEYOND THE BOOKSHELF VIRTUAL REALITY(Rangkuman).pdf
